country	un_status	encryption_gpd	gpd_licensing	gpd_import_export	gpd_other	dla_code	dla_last_modified	transfer	transfer_note	life_exception_in_dla	storage_rule	storage_note	health_sensitive	health_note
Afghanistan	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Albania	member	Some restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	AL	28 January 2025	COND	adequacy or specific safeguards	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Algeria	member	Minimal restrictions	No known legislation or policies.	While there are no import or export controls relating specifically to encryption products, there is a general requirement in Article 41 of Law No. 2000-03 of 05 August 2000 laying down general rules relating to post and telecommunications requires all terminal equipment and radioelectric installatio	No known legislation or policies.	DZ	20 March 2026	AUTH	national authority's authorisation plus adequacy; Art 45 derogation to preserve the data subject's life	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Andorra	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Angola	member	Some restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	AO	30 December 2021	AUTH	prior notification to APD even for adequate countries; prior authorisation for others	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Antigua and Barbuda	member	Some restrictions	No known legislation or policies.	No known legislation or policies.	Section 9(1) of the Electronic Crimes Act 2013 creates a criminal offence of “misuse of encryption”, namely where a person intentionally, without lawful excuse or justification, and for the purpose of commission of an offence or concealment of evidence of any criminal matter, encrypts any communicat			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Argentina	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	AR	28 January 2025	COND	generally prior consent; exception for health-related data where transfer is necessary for public health or emergency reasons	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Armenia	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	AM	20 January 2025	COND	adequate protection or consent; special-category rules	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Australia	member	Some restrictions	No known legislation or policies.	Export controls are set out in the Defence and Trade Controls Act 2012, which specifies that an individual must obtain a permit before exporting or supplying items on the Defence and Strategic Goods List (DSGL). Part 2, Category 5 of the Defence and Strategic Goods List 2021 includes certain forms o	No known legislation or policies.	AU	11 March 2026	COND	reasonable steps (APP 8) or listed exceptions	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Austria	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	AT	20 January 2025	COND	GDPR Ch V; first pass wrongly said AUTH	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Azerbaijan	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	AZ	15 February 2022	COND	prior written consent of the data subject	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Bahamas (The)	member	Minimal restrictions	Section 24(1) of the Electronic Communications and Transactions Act allows the Minister with responsibility for Electronic Commerce to make Regulations “respecting the use, import and export of encryption technology, encryption programs, or other encryption products”. None, however, appear to have b	Section 24(1) of the Electronic Communications and Transactions Act allows the Minister with responsibility for Electronic Commerce to make Regulations “respecting the use, import and export of encryption technology, encryption programs, or other encryption products”. None, however, appear to have b	Section 24(1) of the Electronic Communications and Transactions Act allows the Minister with responsibility for Electronic Commerce to make Regulations “respecting the use, import and export of encryption technology, encryption programs, or other encryption products”. None, however, appear to have b	BS	28 January 2025	COND	commissioner may prohibit transfers lacking equivalent protection; first pass wrongly said LOCAL	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Bahrain	member	Minimal restrictions	No known legislation or policies.	No known legislation or policies.	Article 9 of Law No. 60 of 2014 on Information Technology Crimes provides for a criminal offence of using encryption in order to commit or conceal any crime provided for in that law, or any other law, punishable by imprisonment or a fine of up to BHD 100,000, or both. A copy of the law (in Arabic) c	BH	2 February 2026	AUTH	prohibited unless to 83 listed countries; otherwise Authority's prior authorisation	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	health in sensitive definition
Bangladesh	member	Minimal restrictions	No known legislation or policies.	No known legislation or policies.	Section 60 of the Digital Security Act, 2018, enables the government to make rules in relation to, among other things, decryption. None, however, appear to have been made. A copy of the law (in Bengali) can be found here .	BD	3 January 2024	FREE	no general transfer regulation, sector rules only (banks, telcos); first pass wrongly said AUTH	no	NONE_FOUND	DLA mentions no storage-location rule in any section	NOT_DEFINED	CA 2023 has no sensitive category
Barbados	member	Some restrictions	Section 21(1) of the Electronic Transactions Act, 2001 permits the government to make regulations (a) respecting the use, import and export of encryption programmes or other encryption products, and (b) prohibiting the export of encryption programmes or other encryption products from Barbados genera	Section 21(1) of the Electronic Transactions Act, 2001 permits the government to make regulations (a) respecting the use, import and export of encryption programmes or other encryption products, and (b) prohibiting the export of encryption programmes or other encryption products from Barbados genera	No known legislation or policies.	BB	28 January 2024	COND	adequacy, consent or listed exemptions	no	NONE_FOUND	DLA mentions no storage-location rule in any section	NOT_STATED	DLA quotes the sensitive list and it does not include health
