code	health_sensitive_final	note
AL	YES	confirmed by hand from the definition text
DZ	YES	confirmed by hand from the definition text
AO	YES	confirmed by hand from the definition text
AR	YES	confirmed by hand from the definition text
AM	YES	confirmed by hand from the definition text
AW	YES	"""personal data of a medical ... nature"""
AU	YES	confirmed by hand from the definition text
AT	YES	confirmed by hand from the definition text
AZ	YES	confirmed by hand from the definition text
BS	YES	confirmed by hand from the definition text
BH	YES	health in sensitive definition
BD	NOT_DEFINED	CA 2023 has no sensitive category
BB	NOT_STATED	DLA quotes the sensitive list and it does not include health
BY	YES	confirmed by hand from the definition text
BE	YES	confirmed by hand from the definition text
BJ	YES	confirmed by hand from the definition text
BM	YES	confirmed by hand from the definition text
BO	NOT_STATED	DLA gives only a general definition
BQ	YES	confirmed by hand from the definition text
BA	YES	confirmed by hand from the definition text
BW	YES	confirmed by hand from the definition text
BR	YES	confirmed by hand from the definition text
VG	YES	confirmed by hand from the definition text
BN	NOT_DEFINED	no legal definition
BG	YES	confirmed by hand from the definition text
BF	YES	confirmed by hand from the definition text
BI	NOT_DEFINED	not defined
KH	NOT_DEFINED	personal data itself not defined
CM	YES	confirmed by hand from the definition text
CA	PARTIAL	only Quebec defines sensitive information (biometric or medical)
CV	YES	confirmed by hand from the definition text
KY	YES	confirmed by hand from the definition text
TD	YES	confirmed by hand from the definition text
CL	YES	confirmed by hand from the definition text
CN	YES	confirmed by hand from the definition text
CO	YES	confirmed by hand from the definition text
CI	YES	confirmed by hand from the definition text
CR	YES	biomedical information
HR	YES	confirmed by hand from the definition text
CU	NOT_DEFINED	no express definition
CW	YES	confirmed by hand from the definition text
CY	YES	confirmed by hand from the definition text
CZ	YES	confirmed by hand from the definition text
CD	YES	confirmed by hand from the definition text
DK	YES	confirmed by hand from the definition text
DO	YES	confirmed by hand from the definition text
EC	YES	confirmed by hand from the definition text
EG	YES	confirmed by hand from the definition text
SV	YES	physical and mental health
GQ	YES	processing health data without consent is a major infringement
EE	YES	confirmed by hand from the definition text
ET	YES	confirmed by hand from the definition text
FM	NOT_DEFINED	none
FJ	NOT_DEFINED	no law; constitutional privacy right only
FI	YES	confirmed by hand from the definition text
FR	YES	confirmed by hand from the definition text
GA	YES	confirmed by hand from the definition text
GE	YES	confirmed by hand from the definition text
DE	YES	confirmed by hand from the definition text
GH	YES	confirmed by hand from the definition text
GI	YES	confirmed by hand from the definition text
GR	YES	confirmed by hand from the definition text
GT	YES	confirmed by hand from the definition text
GG	YES	weak: match is inside the genetic-data definition
GN	YES	confirmed by hand from the definition text
HT	NOT_DEFINED	any data whose release would infringe rights
HN	YES	confirmed by hand from the definition text
HK	NOT_DEFINED	no separate concept; guidance only
HU	YES	confirmed by hand from the definition text
IS	YES	confirmed by hand from the definition text
IN	NOT_DEFINED	DPDP Act has no sensitive category
ID	YES	confirmed by hand from the definition text
IR	YES	confirmed by hand from the definition text
IE	YES	confirmed by hand from the definition text
IL	YES	confirmed by hand from the definition text
IT	YES	confirmed by hand from the definition text
JP	YES	medical history
JE	YES	confirmed by hand from the definition text
JO	YES	confirmed by hand from the definition text
KZ	NOT_DEFINED	no definition; medical secrecy under sector law
KE	YES	confirmed by hand from the definition text
XK	YES	confirmed by hand from the definition text
KW	NOT_DEFINED	health status is personal data; no sensitive category
KG	NOT_DEFINED	all personal data confidential; health listed as personal data
LA	YES	history of medical treatment listed as important information
LV	YES	confirmed by hand from the definition text
LB	YES	health data processing under a Minister of Public Health decision
LS	YES	confirmed by hand from the definition text
LR	NOT_DEFINED	no Liberian law defines it
LY	NOT_DEFINED	medical records listed as personal data, not a sensitive category
